recipient,amount
0x80777a8e6a243f172db168748dd58587ede914b8,6727054938854000000
0x87eaf3d9e59b50a237ae7c8f58c21fe68d4065a4,6544930965631430000
0xd328097602b9cef563a294eb940f6f9f781a2e0f,6532101787814960000
0x2f4dec482f4996387376a3fa69ec704b5063eb15,6393386881369870000
0xa6f1c49bfbd1545bb52f92ab9de774688ea12f00,6310315577738050000
0xed324dafe743c274381c0f28a7f1d650e2f9ffcd,6302513974591150000
0xa4c661ed7ed369e18f4cd04b372a3dd5e36c0252,6289721531512790000
0x1ffc767f7a48b4760833452289dea03ac463b25f,6251684600520270000
0x7cbe74509b79b2ddaee590a68190b693c90a8a09,6234201578658560000
0x2d600708fd0b49ae46a7ac0e7387e12c0b050c3f,6071296638259020000
0xbc8d11185fc39f0f877076278db21f76777be3c7,6036882032655170000
0x879e27032accd64f6de5db15f6e10a32f9d8618e,6006825340706110000
0x674efd2c32616802496f7e3147fbbb4b71a478d0,5910442794450880000
0x942a0ebf50d6a16dcdf5d2eb5f7fa341ca675c26,5814740119211660000
0x7d2ce30147d66f277878858b5554b15db7115db2,5805623889140410000
0x6a91b59aa32f01b1748180a35d8b0fad5df9a6c5,5647574967270220000
0x022f44a8d3c0df2e3e798d8795186b3c0697c893,5612813744770670000
0x1212503603aaa0fc26a90f77515d2a51c998866c,5607163351702700000
0xfa2cf2f306e3f6c5db254faf4ad78ff03ae070b6,5557053418286260000
0x8e1d99c9a4f15bde2695d730e025e411d629e072,5455584004912750000
0x2087bd32d867e88ec1cb1586fdf8c806de0602be,5441792984792890000
0x4e2dd48e6f285684f070c637569cde6e3bda7247,5386872770019530000
0x246400b96877057479649c46ff21e935c6fe3c7e,5251335121273870000
0xbd513fffef0a0985bb394da5f1dcd486c20ef615,5181065497748520000
0xfad5d8ea727623c3da373592efe8a206ff1f4280,5132904190664020000
0xb144b17425c6d9b88215fd7a3fbaa134ac98cbfc,5106456174063080000
0x5e61ee97b965e1cc8f09dd448fc0bb1c740ecef0,5105179312310050000
0x355a4174cdf16c8daf14c42dd9e8d54aaacb36f4,5084761125642430000
0xc440066d36c98bc14cbe6ccfb0bd8517730dee0a,5074132097906440000
0xac9be1372ab5fc54cdf4dd2afe7a678e94706e82,5062964686785090000
0xe4d9faf7d21fec43e6d7dd4d270c997f2518a4cb,5060851702693320000
0xddc2412e725f184dd69a825a64f2f86e0af06f05,4836016302719550000
0x39ca365d4ff480a09f03b6ef90f757cca9956a56,4778642080660020000
0xbdfc67d272b9227c3768ff4691d44cc255e9709c,4761356012513400000
0xeb97952c39c36ace5af7b2919ab058ab9bbcad12,4695921725040060000
0xa9c5dd0c85b508e98c5ef1ac8e07cccc3bb7a94b,4618426123068240000
0x74a7bccb30634fb195b6442a57f626fcd7d03b9a,4590967851624480000
0xfedaa17ac2bd92fc715e3b2706b9f10a0514d225,4520398094451100000
0x69e0e2b3d523d3b247d798a49c3fa022a46dd6bd,4471000643445740000
0x2b367e714c00f6403035acb53a00dadc620b5eb7,4458590751392370000
0x5031b23aa1c867e3914e53510bc3414dbed0c141,4435641448903230000
0x6162cb686f862fd1b7756fe9967edb7daf488378,4427503840152410000
0xbedb4b7f1fd4a6a6e1b43f390bd36a0a783b5054,4367408920569540000
0xefa8d282426f33d31d2e8d510480e26c7ef9a9bf,4366189730947320000
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,4350057892039210000
0x15dc34e5c2741889c575e3887ab746071fd5705c,4345122390124100000
0x911c53395562d2947b891423886bff7218410931,4314476833198470000
0x7fe978f80ed1830367db86adefe305e58777b602,4276564477964940000
0x1ccd8ff59612d4108d9bbe5f16add545efc6fdbe,4231788603255950000
0x5269d98e0ef38405d8f28d31aab6d951db36c1d3,4142213163639070000
0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2,4128644187840850000
0x459edae378f81f2e4368f6e46141d3ce048d445c,4079491368404810000
0x566642f847a8e3f26a1a01168a6c35b03b474048,4070685726886390000
0xb220a537e103fba0b0896865b6eb3df2b24f7244,4037108347107190000
0x33ebb62dc9ddbf6b8f3c0efdf5bccc2e7ac60211,4014379173230720000
0xb2e243c5a1cd390235c7ac53fb5cac4d7982246b,3919729086996210000
0x9e55f1678560fd2b345ac9a509df55bf732632f1,3898160642744820000
0x2d182db6e30f8928e0629e51c52ebf9c2e1b2920,3877185531663580000
0x1bc833b87f13b10a259d2ac9bbd90fe5eb468774,3791709075302370000
0x416f990e0374c32f4f5056d0532834230a2ec074,3757459422589850000
0x50d12fe05f5b81498bd72668fd91504aa6f10539,3731530463428960000
0x492da4ff9cfe9c8f74fc4c99699b6ec1c6794861,3728509146189210000
0x549d581206d0070b15365ccd15f8fd11c1311f8c,3693698960806600000
0x11c3aa4d3a3211a36311b50268bcd658fca3897d,3666016178612260000
0x24f5ee0991f95328bf74b682f6fad54cff9c832a,3652951930979410000
0xbeffe696d7748b946ca44b8b8dfbe837f0a7e41c,3649291138866650000
0x9af8bd88eec53659ceb6ac7487b1e2280ed0aaf5,3615143294233610000
0x7885811c1bf44f43e68624bf15df8c0b5155dc4d,3578243470663850000
0x52381019bb5de4e194d18f6bf60a0846e8cf68e2,3558942425940750000
0xe63f404ade69a2f2e773f4cd42c612aee65821d9,3484174318410990000
0xbaf6610405bd8c60432fbd329885dae617e647ca,3460443304579720000
0x231f284912ad91c933790428bd7ad04884c1f6a1,3441079158740340000
0x39de56518e136d472ef9645e7d6e1f7c6c8ed37b,3421765298219240000
0x22736a161d9a9d7733f72b6e6520b3594a421fc3,3414958803812520000
0x05701d30a12055c768049dcddfb8da550d3cec71,3402863842529810000
0xacedd0a9945ca2c2b56cad648de82708108dfa6f,3376520160733950000
0x68fb6198c7080dcd2cab0e740ff16a15eadaee81,3366997359596450000
0x449d9bab5855d53864969defeeaf0148f7c104f2,3356538447704780000
0x20bfa94c7d8566a14e64baec1b04aaf6ada843d5,3341772626955480000
0x6ea5b7964cd0f679bc40ab2a146d792491025f33,3292369837160110000
0x24403c7f45bd16f6dffde0c1c45792d9825fe9a6,3256454300488790000
0xbd3fa892f94276f93ba22f08b0e459df71df9710,3210839550408530000
0x833ee32fb08c742e5a646e7fa5750db3ceaf158f,3179696611353050000
0x55b675fc360714d6cee43a58eb05673339d7ba36,3160127732690870000
0xf3ea8ea3e2c0b83626da4ec6730eec3ed74b0b73,3130044064597150000
0x8b0a5d68246b20568790fca70412a1bbc95cc63c,3127105671958560000
0x1e160ceef93936b117e61ff3f90dae28f0bf2bfa,3099408465787430000
0x71966dfca57eb0499638cad7e9a1eb1c8c757cd0,3070515873471480000
0xafd680fb78648298d13422da8eb29199e72368ec,3030350104175440000
0xb74efa1cc2959f8b7afb6e4178647ea928b421aa,3005061614376670000
0xd8906900af43b728c754cd8437069db6a029eccf,2996295591385610000
0x65fea3437ef2058d6e667c830cd63449949125fa,2967899665845890000
0xa842a116c1e88423f35f525a32095c80558be81e,2932158289008680000
0x5f95465ccb42c2c35522beb48923ac17d0605355,2929685491117440000
0x217b199e32ea51aec53be5f0ac0ad938388feb1f,2904685320341020000
0xc405b28ae784bf7e7d699c19e15e09dd8a831e68,2864112101502860000
0x11598f24ff51be40891fd48555478e725071c683,2858580397521010000
0xa490b95c6d9c67adc207efeaf0d94665ce6af4bf,2834148216763320000
0x16024f29265a330335a3b6a1b5c786bda07f9e4c,2782477424493060000
0x62c440f1444ac1ad832ee141154f3dad00484e87,2772839536398030000
0xba6112d6b95e415c84c85f67eb694bcd269012ed,2765576120144140000
0x82e215c10480450d03180eaced75116bfb28e008,2739033541913720000
0x37b3fae959f171767e34e33eaf7ee6e7be2842c3,2721771576545460000
0x38cfac74446e146173d5a97a90f840628f6dc600,2685966247128340000
0x59a0e25d531afa328a35063d3a07e27cc3477102,2670819452035340000
0xa971c734e00744fca80f7328116e7613e4c731bc,2646792268513860000
0xe6a6ee4196d361ec4f6d587c7ebe20c50667fb39,2628466380648910000
0xfe9f0260a187a4d5d7ffe1ccdccb0f29b71ffecf,2598264035162610000
0x183c5c04b25ab9f51e5b9d06b78eff2793074e80,2569221538301060000
0xafe350c76d31b73b5901eaccb86f2834c5ec0a3b,2540380399033920000
0xb39ab02bf9a388e0d5555cce52b75d1185690c75,2528937717471940000
0xa5911de702fd1a95e3f63581037782819f448913,2485925128482640000
0xe699806509bc9c9616c495816c97b108b7c7dc16,2478512098201220000
